Sensor,Break,Interval,Time,Start,End,Comments
T-Line 1,347.8326,9.2328,1672873535.4929,1672873535.4929204,1672873883.3255498,
Hog-Line 1,0.1922,11.7703,1672873526.2601,1672873526.2601442,1672873526.4522986,
Hog-Line 2,0.1145,2.8410,1672873514.4898,1672873514.4898248,1672873514.6043632,
T-Line 2,0.1102,20.7926,1672873511.6489,1672873511.6488569,1672873511.759016,
T-Line 2,0.1565,3.9602,1672873490.8563,1672873490.8563046,1672873491.0128486,
Hog-Line 2,0.2020,7.5878,1672873486.8961,1672873486.8961012,1672873487.0980625,
Hog-Line 1,0.3660,15.6440,1672873479.3083,1672873479.3083456,1672873479.6743813,
Hog-Line 2,0.1289,3.0843,1672873463.6643,1672873463.6643336,1672873463.7932458,
T-Line 2,0.1110,21.1186,1672873460.5800,1672873460.5800178,1672873460.6909738,
T-Line 2,0.2258,2.0202,1672873439.4614,1672873439.46144,1672873439.687275,
Hog-Line 1,0.4909,16.8754,1672873437.4413,1672873437.4412794,1672873437.93213,
Hog-Line 2,0.1314,3.0559,1672873420.5659,1672873420.565912,1672873420.697302,
T-Line 2,0.1104,80.0772,1672873417.5100,1672873417.5099766,1672873417.620383,
Hog-Line 2,0.2482,13.7682,1672873337.4327,1672873337.4327488,1672873337.680937,
Hog-Line 1,0.1299,3.0802,1672873323.6645,1672873323.664535,1672873323.7944524,
T-Line 1,0.1162,41.0454,1672873320.5843,1672873320.584289,1672873320.700528,
T-Line 1,0.3336,3.5382,1672873279.5389,1672873279.5389197,1672873279.872475,
T-Line 2,99.0909,7.1322,1672873276.0007,1672873276.0006967,1672873375.0915864,
Hog-Line 2,0.1986,12.3709,1672873268.8685,1672873268.868515,1672873269.0671074,
Hog-Line 1,0.1218,2.9258,1672873256.4976,1672873256.4976332,1672873256.619418,
T-Line 1,0.1088,48.0549,1672873253.5719,1672873253.5718734,1672873253.6806962,
T-Line 1,0.1717,4.3649,1672873205.5170,1672873205.5169728,1672873205.6886864,
Hog-Line 1,0.2028,9.4934,1672873201.1521,1672873201.1521113,1672873201.354916,
Hog-Line 2,0.2902,14.1885,1672873191.6587,1672873191.6587439,1672873191.9489284,
Hog-Line 1,0.1265,3.0431,1672873177.4702,1672873177.4702008,1672873177.5967317,
T-Line 1,0.1180,30.0582,1672873174.4271,1672873174.427118,1672873174.5451412,
T-Line 1,0.1725,3.9487,1672873144.3689,1672873144.3688812,1672873144.5414174,
Hog-Line 1,0.2510,5.6615,1672873140.4202,1672873140.4201612,1672873140.6712039,
T-Line 2,0.5451,7.3092,1672873134.7587,1672873134.758697,1672873135.3038309,
Hog-Line 2,0.2152,12.7037,1672873127.4495,1672873127.4494717,1672873127.6647024,
Hog-Line 1,0.1224,2.8928,1672873114.7458,1672873114.7457829,1672873114.8682225,
T-Line 1,0.1157,220.9827,1672873111.8530,1672873111.8530273,1672873111.9686909,
T-Line 1,0.1839,4.2294,1672872890.8703,1672872890.8703156,1672872891.0542338,
Hog-Line 1,0.2801,10.1072,1672872886.6409,1672872886.6408708,1672872886.9209409,
Hog-Line 2,0.2621,13.7971,1672872876.5337,1672872876.5336952,1672872876.7957628,
Hog-Line 1,0.1250,2.9789,1672872862.7366,1672872862.7365537,1672872862.8615506,
T-Line 1,0.1132,36.9763,1672872859.7576,1672872859.7576232,1672872859.870866,
T-Line 1,0.2320,4.4144,1672872822.7813,1672872822.7813258,1672872823.0133524,
Hog-Line 1,0.3038,6.6164,1672872818.3669,1672872818.3669233,1672872818.6707048,
Hog-Line 2,0.3404,15.3847,1672872811.7505,1672872811.7505116,1672872812.090951,
Hog-Line 1,0.1305,2.9798,1672872796.3658,1672872796.3658197,1672872796.496347,
T-Line 1,0.1088,34.4286,1672872793.3860,1672872793.3860118,1672872793.4948275,
T-Line 1,0.3210,3.5622,1672872758.9574,1672872758.9573731,1672872759.278364,
